state,date,infections,,,,,,,,,,,,,,,,,,,,
Connecticut,4/3/20,17782.56277,,,,,,,,,,,,,,,,,,,,
Connecticut,4/4/20,17624.66605,,,,,,,,,,,,,,,,,,,,
Connecticut,4/5/20,17344.78981,,,,,,,,,,,,,,,,,,,,
Connecticut,4/6/20,16964.26302,,,,,,,,,,,,,,,,,,,,
Connecticut,4/7/20,16504.9477,,,,,,,,,,,,,,,,,,,,
Connecticut,4/8/20,15988.2003,,,,,,,,,,,,,,,,,,,,
Connecticut,4/9/20,15433.66357,,,,,,,,,,,,,,,,,,,,
Connecticut,4/10/20,14858.53585,,,,,,,,,,,,,,,,,,,,
Connecticut,4/11/20,14277.40363,,,,,,,,,,,,,,,,,,,,
Connecticut,4/12/20,13702.25903,,,,,,,,,,,,,,,,,,,,
Connecticut,4/13/20,13142.63616,,,,,,,,,,,,,,,,,,,,
Connecticut,4/14/20,12605.69278,,,,,,,,,,,,,,,,,,,,
Connecticut,4/15/20,12096.3862,,,,,,,,,,,,,,,,,,,,
Connecticut,4/16/20,11617.80097,,,,,,,,,,,,,,,,,,,,
Connecticut,4/17/20,11171.4625,,,,,,,,,,,,,,,,,,,,
Connecticut,4/18/20,10757.61895,,,,,,,,,,,,,,,,,,,,
Connecticut,4/19/20,10375.52629,,,,,,,,,,,,,,,,,,,,
Connecticut,4/20/20,10023.68929,,,,,,,,,,,,,,,,,,,,
Connecticut,4/21/20,9700.008386,,,,,,,,,,,,,,,,,,,,
Connecticut,4/22/20,9401.891337,,,,,,,,,,,,,,,,,,,,
Connecticut,4/23/20,9126.340103,,,,,,,,,,,,,,,,,,,,
Connecticut,4/24/20,8870.144266,,,,,,,,,,,,,,,,,,,,
Connecticut,4/25/20,8630.104722,,,,,,,,,,,,,,,,,,,,
Connecticut,4/26/20,8403.048359,,,,,,,,,,,,,,,,,,,,
Connecticut,4/27/20,8185.826919,,,,,,,,,,,,,,,,,,,,
Connecticut,4/28/20,7975.321177,,,,,,,,,,,,,,,,,,,,
Connecticut,4/29/20,7768.567157,,,,,,,,,,,,,,,,,,,,
Connecticut,4/30/20,7562.987618,,,,,,,,,,,,,,,,,,,,
Connecticut,5/1/20,7356.398631,,,,,,,,,,,,,,,,,,,,
Connecticut,5/2/20,7146.992685,,,,,,,,,,,,,,,,,,,,
Connecticut,5/3/20,6933.326472,,,,,,,,,,,,,,,,,,,,
Connecticut,5/4/20,6714.359418,,,,,,,,,,,,,,,,,,,,
Connecticut,5/5/20,6489.562852,,,,,,,,,,,,,,,,,,,,
